X,	Y,	Z,	Resultado	
0.5,	2,	0.5,	16.097	
0.5,	2,	1,	14.9073	
0.5,	2,	1.5,	13.3993	
0.5,	2,	2,	11.8947	
1,	-2,	-2,	11.3968	
1,	-2,	-1.5,	12.7008	
1,	-2,	-1,	13.9661	
1,	-2,	-0.5,	14.9359	
1,	-2,	0,	15.3076	
1,	-2,	0.5,	14.937	
1,	-2,	1,	13.9681	
1,	-2,	1.5,	12.7034	
1,	-2,	2,	11.3995	
1,	-1.5,	-2,	12.6933	
1,	-1.5,	-1.5,	14.576	
1,	-1.5,	-1,	16.5886	
1,	-1.5,	-0.5,	18.29	
1,	-1.5,	0,	18.9846	
1,	-1.5,	0.5,	18.2887	
1,	-1.5,	1,	16.5895	
1,	-1.5,	1.5,	14.5787	
1,	-1.5,	2,	12.6964	
1,	-1,	-2,	13.9455	
1,	-1,	-1.5,	16.5694	
1,	-1,	-1,	19.7282	
1,	-1,	-0.5,	22.7947	
1,	-1,	0,	24.1469	
1,	-1,	0.5,	22.7748	
1,	-1,	1,	19.721	
1,	-1,	1.5,	16.5706	
1,	-1,	2,	13.9487	
1,	-0.5,	-2,	14.899	
1,	-0.5,	-1.5,	18.2391	
1,	-0.5,	-1,	22.7393	
1,	-0.5,	-0.5,	27.4005	
1,	-0.5,	0,	29.4167	
1,	-0.5,	0.5,	27.3716	
1,	-0.5,	1,	22.7205	
1,	-0.5,	1.5,	18.2392	
1,	-0.5,	2,	14.9027	
1,	0,	-2,	15.2587	
1,	0,	-1.5,	18.9076	
1,	0,	-1,	24.0289	
1,	0,	-0.5,	29.3151	
1,	0,	0,	31.5906	
1,	0,	0.5,	29.3569	
1,	0,	1,	24.037	
1,	0,	1.5,	18.9147	
1,	0,	2,	15.2648	
1,	0.5,	-2,	14.887	
1,	0.5,	-1.5,	18.211	
1,	0.5,	-1,	22.656	
1,	0.5,	-0.5,	27.2636	
1,	0.5,	0,	29.2541	
1,	0.5,	0.5,	27.3587	
1,	0.5,	1,	22.7055	
1,	0.5,	1.5,	18.23	
1,	0.5,	2,	14.8967	
1,	1,	-2,	13.9262	
1,	1,	-1.5,	16.5308	
1,	1,	-1,	19.6446	
1,	1,	-0.5,	22.6457	
1,	1,	0,	24.0116	
1,	1,	0.5,	22.6999	
1,	1,	1,	19.6871	
1,	1,	1.5,	16.5522	
1,	1,	2,	13.9375	
1,	1.5,	-2,	12.6722	
1,	1.5,	-1.5,	14.5404	
1,	1.5,	-1,	16.5291	
1,	1.5,	-0.5,	18.2054	
1,	1.5,	0,	18.8982	
1,	1.5,	0.5,	18.2266	
1,	1.5,	1,	16.552	
1,	1.5,	1.5,	14.5561	
1,	1.5,	2,	12.682	
1,	2,	-2,	11.3772	
1,	2,	-1.5,	12.6718	
1,	2,	-1,	13.925	
