X	Y	Z	Resultado	
-9	-6	8	2.91714	
-9	-6	9	2.78937	
-9	-6	10	2.66484	
-9	-5	-10	2.75979	
-9	-5	-9	2.89593	
-9	-5	-8	3.03634	
-9	-5	-7	3.17858	
-9	-5	-6	3.31919	
-9	-5	-5	3.45356	
-9	-5	-4	3.57601	
-9	-5	-3	3.68011	
-9	-5	-2	3.75934	
-9	-5	-1	3.80803	
-9	-5	0	3.82239	
-9	-5	1	3.80123	
-9	-5	2	3.74629	
-9	-5	3	3.66182	
-9	-5	4	3.55373	
-9	-5	5	3.42857	
-9	-5	6	3.29266	
-9	-5	7	3.15149	
-9	-5	8	3.00943	
-9	-5	9	2.86974	
-9	-5	10	2.73465	
-9	-4	-10	2.82303	
-9	-4	-9	2.96926	
-9	-4	-8	3.12118	
-9	-4	-7	3.2763	
-9	-4	-6	3.43093	
-9	-4	-5	3.57996	
-9	-4	-4	3.71689	
-9	-4	-3	3.8342	
-9	-4	-2	3.92405	
-9	-4	-1	3.97951	
-9	-4	0	3.9959	
-9	-4	1	3.97174	
-9	-4	2	3.9092	
-9	-4	3	3.81351	
-9	-4	4	3.69188	
-9	-4	5	3.55213	
-9	-4	6	3.40165	
-9	-4	7	3.24666	
-9	-4	8	3.09198	
-9	-4	9	2.94105	
-9	-4	10	2.79615	
-9	-3	-10	2.87547	
-9	-3	-9	3.03046	
-9	-3	-8	3.1925	
-9	-3	-7	3.35909	
-9	-3	-6	3.52635	
-9	-3	-5	3.68877	
-9	-3	-4	3.83911	
-9	-3	-3	3.96878	
-9	-3	-2	4.06868	
-9	-3	-1	4.1306	
-9	-3	0	4.14893	
-9	-3	1	4.12191	
-9	-3	2	4.05213	
-9	-3	3	3.94585	
-9	-3	4	3.81156	
-9	-3	5	3.65836	
-9	-3	6	3.49459	
-9	-3	7	3.32718	
-9	-3	8	3.16128	
-9	-3	9	3.0005	
-9	-3	10	2.84709	
-9	-2	-10	2.91495	
-9	-2	-9	3.07678	
-9	-2	-8	3.24679	
-9	-2	-7	3.42251	
-9	-2	-6	3.59995	
-9	-2	-5	3.77327	
-9	-2	-4	3.93466	
-9	-2	-3	4.07462	
-9	-2	-2	4.18294	
-9	-2	-1	4.25032	
-9	-2	0	4.2703	
-9	-2	1	4.24086	
-9	-2	2	4.16497	
-9	-2	3	4.04982	
-9	-2	4	3.90503	
-9	-2	5	3.74076	
-9	-2	6	3.56621	
-9	-2	7	3.38881	
-9	-2	8	3.21401	
-9	-2	9	3.04547	
-9	-2	10	2.88543	
-9	-1	-10	2.93969	
-9	-1	-9	3.10592	
-9	-1	-8	3.2811	
-9	-1	-7	3.46277	
-9	-1	-6	3.6469	
-9	-1	-5	3.82745	
-9	-1	-4	3.99622	
-9	-1	-3	4.14311	
-9	-1	-2	4.25717	
-9	-1	-1	4.32827	
-9	-1	0	4.34938	
-9	-1	1	4.31829	
-9	-1	2	4.23825	
-9	-1	3	4.11709	
-9	-1	4	3.96523	
-9	-1	5	3.79358	
-9	-1	6	3.61188	
-9	-1	7	3.42792	
-9	-1	8	3.24731	
-9	-1	9	3.07376	
-9	-1	10	2.90945	
-9	0	-10	2.94851	
-9	0	-9	3.11634	
-9	0	-8	3.29339	
-9	0	-7	3.47724	
-9	0	-6	3.66383	
-9	0	-5	3.84705	
-9	0	-4	4.01856	
-9	0	-3	4.16805	
-9	0	-2	4.28426	
-9	0	-1	4.35678	
-9	0	0	4.37833	
-9	0	1	4.34662	
-9	0	2	4.26504	
-9	0	3	4.14163	
-9	0	4	3.98713	
-9	0	5	3.81273	
-9	0	6	3.62839	
-9	0	7	3.44202	
-9	0	8	3.25928	
-9	0	9	3.08391	
-9	0	10	2.91804	
-9	1	-10	2.94098	
-9	1	-9	3.10746	
-9	1	-8	3.28292	
-9	1	-7	3.46494	
-9	1	-6	3.64946	
-9	1	-5	3.83044	
-9	1	-4	3.99967	
-9	1	-3	4.14702	
-9	1	-2	4.26146	
-9	1	-1	4.33284	
